ipnr17,v313_dk,v314_dk,v315_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken
CZ626923,Medium-cycle tertiary eduation,250.000-350.000,Female,52.0,Gift eller reg. partnerskab,3 børn,De 3 store provinsbyer,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Mellemlange vid. udd,4,2,4.0,Enhedslisten m.fl.,Ja,nej
CZ362737,Elementary school or unknown,250.000-350.000,Female,66.0,Enlig,1 barn,De 3 store provinsbyer,Korte vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,,Socialdemokraterne,Ja,ja
CZ672860,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,52.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ797812,Secondary education,150.000-250.000,Male,26.0,Enlig,Ingen børn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,2.0,,Nej,ja
FU732964,Medium-cycle tertiary eduation,<150.0000,Male,78.0,Gift eller reg. partnerskab,4 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,,Socialdemokraterne,Nej,ja
CZ648430,Elementary school or unknown,<150.0000,Male,18.0,Enlig,Ingen børn,Større provinsbyer,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,nej
FU655227,Medium-cycle tertiary eduation,350.000<,Female,36.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,5.0,Socialistisk Folkeparti,Nej,ja
FU639256,Elementary school or unknown,<150.0000,Male,19.0,Enlig,Uoplyst,,Grundskole og gym.,Irrelevant,Korte vid. udd,Erhvervsfaglige uddannelser,2,77,1.0,Dansk Folkeparti,Nej,ja
CZ466257,Secondary education,<150.0000,Female,73.0,Enke/enkemand,1 barn,Mindre byer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,2.0,Socialdemokraterne,Ja,ja
FU315368,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,36.0,Gift eller reg. partnerskab,3 børn,,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Mellemlange vid. udd,4,4,5.0,Det Radikale Venstre,Nej,nej
FU884590,Secondary education,150.000-250.000,Male,29.0,Papirløst partnerskab,1 barn,,Grundskole og gym.,Mellemlange vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,3.0,Enhedslisten m.fl.,Ja,nej
CZ227924,Short-cycle tertiary eduation,150.000-250.000,Female,32.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Korte vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,3,3,4.0,Socialdemokraterne,Nej,ja
CZ610438,Elementary school or unknown,<150.0000,Female,76.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,5.0,Dansk Folkeparti,Ja,ja
CZ269676,Elementary school or unknown,<150.0000,Female,79.0,Gift eller reg. partnerskab,4 børn,Større provinsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,1.0,Socialdemokraterne,Ja,ja
CZ788041,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,42.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Lang vid. udd,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,3,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU653212,Secondary education,250.000-350.000,Male,64.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,4.0,Vil stemme blankt,Nej,ja
CZ340537,Elementary school or unknown,<150.0000,Male,20.0,Enlig,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,,,Nej,ja
FU227988,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Male,57.0,Skilt,Uoplyst,,Uoplyst,Irrelevant,Uoplyst,Uoplyst,Ukendt,77,,Socialdemokraterne,Nej,nej
FU781087,Secondary education,<150.0000,Male,82.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Ukendt,Ukendt,,"Venstre, Danmarks Liberale Parti",Nej,ja
FU545541,Elementary school or unknown,<150.0000,Female,20.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Lang vid. udd,Erhvervsfaglige uddannelser,1,77,3.0,Alternativet,Nej,nej
CZ256295,Elementary school or unknown,150.000-250.000,Female,43.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,1,2,3.0,Socialdemokraterne,Nej,nej
CZ389322,Medium-cycle tertiary eduation,350.000<,Female,61.0,Papirløst partnerskab,3 børn,Landområder og landsbyer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,1,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU776320,Secondary education,250.000-350.000,Male,53.0,Enlig,2 børn,,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,3.0,Socialdemokraterne,Nej,ja
CZ743651,Elementary school or unknown,150.000-250.000,Male,57.0,Gift eller reg. partnerskab,1 barn,Større provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Ukendt,2,2.0,Socialdemokraterne,Ja,ja
CZ536911,Elementary school or unknown,150.000-250.000,Male,45.0,Gift eller reg. partnerskab,3 børn,De 3 store provinsbyer,Grundskole og gym.,Korte vid. udd,Uoplyst,Uoplyst,1,2,2.0,,Nej,ja
CZ504512,Medium-cycle tertiary eduation,150.000-250.000,Male,39.0,Papirløst partnerskab,5 børn,Landområder og landsbyer,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,3.0,Det Radikale Venstre,Nej,ja
FU554049,Medium-cycle tertiary eduation,250.000-350.000,Female,63.0,Papirløst partnerskab,2 børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,4,2,3.0,Socialdemokraterne,Ja,ja
CZ817761,Secondary education,250.000-350.000,Male,38.0,Papirløst partnerskab,3 børn,Landområder og landsbyer,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,3,4.0,Socialdemokraterne,Nej,ja
CZ110947,Medium-cycle tertiary eduation,350.000<,Female,52.0,Gift eller reg. partnerskab,Ingen børn,Mellemstore byer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Mellemlange vid. udd,1,2,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU838269,Medium-cycle tertiary eduation,250.000-350.000,Female,40.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,4,3,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU500403,Secondary education,150.000-250.000,Female,33.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,2,3.0,Socialdemokraterne,Ja,ja
FU881822,Medium-cycle tertiary eduation,350.000<,Male,78.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU296118,Elementary school or unknown,150.000-250.000,Female,65.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Korte vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU408367,Secondary education,150.000-250.000,Female,35.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,4.0,Det Konservative Folkeparti,Nej,ja
CZ612528,Secondary education,250.000-350.000,Female,37.0,Gift eller reg. partnerskab,1 barn,Større provinsbyer,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,5.0,Nye Borgerlige,Nej,ja
CZ822698,Secondary education,250.000-350.000,Male,30.0,Gift eller reg. partnerskab,2 børn,Mindre byer,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,2,77,2.0,,Nej,ja
FU609674,Secondary education,<150.0000,Male,25.0,Papirløst partnerskab,Ingen børn,,Mellemlange vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,1.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ886749,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,50.0,Gift eller reg. partnerskab,4 børn,Større provinsbyer,Lang vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Lang vid. udd,4,4,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ817581,Secondary education,<150.0000,Male,77.0,Gift eller reg. partnerskab,1 barn,Større provinsbyer,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,2.0,Dansk Folkeparti,Nej,ja
FU711359,Secondary education,250.000-350.000,Female,40.0,Gift eller reg. partnerskab,6 børn eller flere,,Erhvervsfaglige uddannelser,Uoplyst,Grundskole og gym.,Grundskole og gym.,2,2,3.0,Socialdemokraterne,Nej,ja
FU410658,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,34.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,3.0,Det Konservative Folkeparti,Nej,ja
CZ130362,Secondary education,<150.0000,Female,21.0,Enlig,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Korte vid. udd,Grundskole og gym.,1,77,3.0,Enhedslisten m.fl.,Ja,ja
CZ636086,Medium-cycle tertiary eduation,250.000-350.000,Female,52.0,Gift eller reg. partnerskab,5 børn,Landområder og landsbyer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,4.0,Alternativet,Ja,ja
FU898664,Medium-cycle tertiary eduation,250.000-350.000,Female,58.0,Gift eller reg. partnerskab,4 børn,,Mellemlange vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Uoplyst,4,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ631894,Secondary education,350.000<,Male,49.0,Papirløst partnerskab,2 børn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,2,4,4.0,Socialdemokraterne,Nej,ja
CZ185933,Secondary education,150.000-250.000,Female,51.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,3,4,3.0,,Ja,nej
FU318865,Secondary education,<150.0000,Female,22.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Lang vid. udd,Erhvervsfaglige uddannelser,2,77,1.0,Enhedslisten m.fl.,Ja,ja
FU891016,Secondary education,250.000-350.000,Female,52.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,3,3.0,Det Konservative Folkeparti,Nej,ja
CZ835765,Short-cycle tertiary eduation,<150.0000,Male,45.0,Gift eller reg. partnerskab,Ingen børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Korte vid. udd,Ukendt,4,3.0,,Ja,nej
CZ891279,Medium-cycle tertiary eduation,150.000-250.000,Female,38.0,Skilt,1 barn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Mellemlange vid. udd,4,77,2.0,Alternativet,Nej,ja
CZ847809,Medium-cycle tertiary eduation,350.000<,Male,59.0,Gift eller reg. partnerskab,2 børn,Mindre byer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Uoplyst,4,2,4.0,Socialistisk Folkeparti,Ja,nej
CZ195928,Short-cycle tertiary eduation,250.000-350.000,Female,47.0,Papirløst partnerskab,1 barn,Landområder og landsbyer,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,4,4.0,,Nej,ja
CZ874739,Medium-cycle tertiary eduation,<150.0000,Female,80.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU477403,Elementary school or unknown,<150.0000,Male,90.0,Gift eller reg. partnerskab,Uoplyst,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,1.0,Dansk Folkeparti,Nej,ja
CZ513644,Secondary education,150.000-250.000,Male,54.0,Papirløst partnerskab,Ingen børn,Mellemstore byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,2,2,4.0,Dansk Folkeparti,Nej,ja
FU260287,Secondary education,<150.0000,Male,26.0,Papirløst partnerskab,1 barn,,Grundskole og gym.,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,2,4,2.0,Alternativet,Nej,nej
CZ110551,Secondary education,250.000-350.000,Male,42.0,Papirløst partnerskab,6 børn eller flere,Større provinsbyer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,3.0,Socialdemokraterne,Nej,nej
FU271261,Secondary education,<150.0000,Male,24.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Lang vid. udd,Erhvervsfaglige uddannelser,Ukendt,77,1.0,Liberal Alliance (tidl. Ny Alliance),Ja,ja
FU803659,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,29.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Korte vid. udd,Mellemlange vid. udd,Korte vid. udd,4,3,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU823879,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,68.0,Papirløst partnerskab,1 barn,,Lang vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,3.0,Socialdemokraterne,Nej,ja
FU115820,Secondary education,<150.0000,Female,23.0,Papirløst partnerskab,Ingen børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,2,1,3.0,Vil stemme blankt,Nej,ja
CZ109172,Medium-cycle tertiary eduation,250.000-350.000,Male,36.0,Gift eller reg. partnerskab,Ingen børn,De 3 store provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Enhedslisten m.fl.,Ja,nej
CZ188721,Elementary school or unknown,350.000<,Male,53.0,Papirløst partnerskab,1 barn,Mellemstore byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,3,5.0,Socialdemokraterne,Nej,ja
CZ432250,Secondary education,150.000-250.000,Male,77.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,4,2,2.0,Socialdemokraterne,Ja,ja
CZ834209,Secondary education,<150.0000,Female,53.0,Separeret,3 børn,Større provinsbyer,Korte vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,1.0,Liberal Alliance (tidl. Ny Alliance),Ja,nej
CZ832020,Elementary school or unknown,<150.0000,Male,71.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,1.0,Dansk Folkeparti,Nej,ja
FU750624,Medium-cycle tertiary eduation,250.000-350.000,Female,58.0,Gift eller reg. partnerskab,Ingen børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,4,2,5.0,Dansk Folkeparti,Nej,ja
FU894818,Secondary education,250.000-350.000,Female,56.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,2,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU526827,Secondary education,<150.0000,Female,22.0,Papirløst partnerskab,Ingen børn,,Lang vid. udd,Korte vid. udd,Korte vid. udd,Mellemlange vid. udd,2,4,1.0,Socialdemokraterne,Ja,nej
FU391655,Secondary education,150.000-250.000,Female,53.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,2.0,Dansk Folkeparti,Nej,ja
CZ764892,Elementary school or unknown,<150.0000,Female,19.0,Enlig,Ingen børn,Landområder og landsbyer,Grundskole og gym.,Irrelevant,Korte vid. udd,Grundskole og gym.,2,77,1.0,Alternativet,Nej,ja
FU660257,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Female,79.0,Gift eller reg. partnerskab,3 børn,,Lang vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,1.0,Enhedslisten m.fl.,Nej,nej
FU827303,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,32.0,Gift eller reg. partnerskab,1 barn,,Lang vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ206806,Elementary school or unknown,250.000-350.000,Male,31.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,2,77,2.0,Socialdemokraterne,Nej,nej
FU530669,Secondary education,<150.0000,Female,26.0,Papirløst partnerskab,Ingen børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Korte vid. udd,2,1,4.0,Dansk Folkeparti,Nej,ja
FU728578,Secondary education,250.000-350.000,Female,43.0,Papirløst partnerskab,1 barn,,Grundskole og gym.,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU676467,Elementary school or unknown,250.000-350.000,Female,60.0,Gift eller reg. partnerskab,Ingen børn,,Grundskole og gym.,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,3,4,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU285947,Secondary education,<150.0000,Male,21.0,Papirløst partnerskab,Ingen børn,,Grundskole og gym.,Grundskole og gym.,Lang vid. udd,Grundskole og gym.,1,2,1.0,Socialistisk Folkeparti,Ja,ja
FU161646,Secondary education,<150.0000,Female,68.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,,Socialdemokraterne,Nej,ja
CZ152258,Short-cycle tertiary eduation,250.000-350.000,Male,43.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Mellemlange vid. udd,3,2,4.0,Socialdemokraterne,Ja,ja
CZ320813,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,52.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,3,4,5.0,Det Konservative Folkeparti,Nej,ja
FU544830,Secondary education,250.000-350.000,Male,49.0,Skilt,2 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ893989,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Male,34.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,4,3,4.0,Enhedslisten m.fl.,Ja,nej
CZ452802,Elementary school or unknown,350.000<,Male,62.0,Skilt,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,1,77,1.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU884640,Secondary education,<150.0000,Male,21.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,77,4.0,Liberal Alliance (tidl. Ny Alliance),Ja,nej
FU452429,Elementary school or unknown,150.000-250.000,Male,83.0,Enke/enkemand,3 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,2.0,Alternativet,Nej,ja
FU742556,Secondary education,250.000-350.000,Female,46.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,4,77,,,Ja,ja
FU177695,Short-cycle tertiary eduation,350.000<,Male,54.0,Gift eller reg. partnerskab,Ingen børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,2,5.0,Dansk Folkeparti,Nej,ja
FU814165,Medium-cycle tertiary eduation,350.000<,Male,88.0,Enke/enkemand,2 børn,,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Korte vid. udd,4,77,3.0,Dansk Folkeparti,Nej,ja
CZ131472,Medium-cycle tertiary eduation,350.000<,Male,57.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,5.0,Det Radikale Venstre,Nej,ja
FU508961,Secondary education,250.000-350.000,Male,62.0,Skilt,2 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,2.0,Det Konservative Folkeparti,Ja,ja
FU528127,Secondary education,150.000-250.000,Female,50.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,4.0,Socialdemokraterne,Nej,ja
CZ467839,Secondary education,150.000-250.000,Female,38.0,Papirløst partnerskab,1 barn,Mellemstore byer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,3.0,Socialdemokraterne,Nej,ja
CZ684156,Medium-cycle tertiary eduation,150.000-250.000,Female,86.0,Enke/enkemand,3 børn,Større provinsbyer,Grundskole og gym.,Irrelevant,Uoplyst,Erhvervsfaglige uddannelser,4,77,,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ490611,Short-cycle tertiary eduation,250.000-350.000,Female,49.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,1,3.0,Socialdemokraterne,Ja,ja
CZ419281,Elementary school or unknown,150.000-250.000,Female,31.0,Skilt,Ingen børn,Landområder og landsbyer,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,1,77,1.0,,Ja,nej
CZ204210,Short-cycle tertiary eduation,350.000<,Male,33.0,Papirløst partnerskab,Ingen børn,Større provinsbyer,Korte vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ760600,Short-cycle tertiary eduation,<150.0000,Female,24.0,Papirløst partnerskab,Ingen børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,1,2.0,Liberal Alliance (tidl. Ny Alliance),Ja,nej
CZ600675,Secondary education,250.000-350.000,Female,37.0,Gift eller reg. partnerskab,2 børn,Mindre byer,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,3,3,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU533532,Elementary school or unknown,150.000-250.000,Female,81.0,Enke/enkemand,2 børn,,Grundskole og gym.,Irrelevant,Uoplyst,Erhvervsfaglige uddannelser,Ukendt,77,1.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ641307,Elementary school or unknown,<150.0000,Female,77.0,Enke/enkemand,1 barn,Større provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,1.0,,Nej,ja
FU193584,Medium-cycle tertiary eduation,150.000-250.000,Female,32.0,Papirløst partnerskab,Ingen børn,,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,Korte vid. udd,4,4,2.0,Enhedslisten m.fl.,Nej,ja
CZ857283,Short-cycle tertiary eduation,350.000<,Male,52.0,Papirløst partnerskab,2 børn,De 3 store provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,3,4,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ343610,Secondary education,150.000-250.000,Male,67.0,Skilt,1 barn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,Ukendt,77,2.0,Socialdemokraterne,Nej,ja
CZ551965,Secondary education,<150.0000,Male,50.0,Gift eller reg. partnerskab,3 børn,Mindre byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,3,3.0,Dansk Folkeparti,Nej,ja
CZ547742,Secondary education,<150.0000,Female,24.0,Enlig,Ingen børn,Mellemstore byer,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,1.0,,Nej,ja
CZ486699,Secondary education,250.000-350.000,Male,39.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,3.0,Dansk Folkeparti,Ja,ja
FU234835,Short-cycle tertiary eduation,<150.0000,Male,27.0,Gift eller reg. partnerskab,Ingen børn,,Korte vid. udd,Korte vid. udd,Korte vid. udd,Grundskole og gym.,2,2,1.0,Det Konservative Folkeparti,Nej,ja
